job,kind,state,source,branch,gradient_l2,clip_coefficient,master_update_l2,bf16_l2,bf16_nonzero_fraction,bf16_fraction_above_1e5
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,topk_intersection,16.100940192933788,0.06210817044899645,0.002550449135409781,0.03393285847804799,0.0017065452194511051,0.0003833462704039699
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,teacher_topk,16.11919514656174,0.062037833084703925,0.00255045944290491,0.03393354412169316,0.0017065097661864402,0.0003833671936421328
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,full_vocab,16.116565519563345,0.06204795536233691,0.002551379297166076,0.03393555681658074,0.0017070066930928096,0.0003833916040866562
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,sampled_pg_draw1,5.836761912848303,0.17132784300673373,0.002561597748197745,0.03393519017400372,0.0017098731767211288,0.00038401581402518317
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,sampled_pg_draw2,22.07999895992303,0.04528985515466848,0.00251039991798998,0.03376965086132761,0.0016830013457082849,0.00037794633135475753
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,sampled_pg_draw3,25.17793113578039,0.039717320493484795,0.0025149701067207274,0.03378803488780923,0.0016863973035023381,0.00037906746819965376
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,zero_gradient,0.0,1.0,0.0027722796568962543,0.025076689644376968,0.0018186612287449657,0.00035150342672425334
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,sampled_pg,130.60425804840003,0.007656718144462767,0.0029283240557911204,0.025449236809957438,0.0018999067437326254,0.00036735045482842125
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,student_topk,229.57696905867516,0.004355837607510982,0.0029844468642551193,0.025737714136128027,0.0019257248572235426,0.0003748078456303203
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,topk_intersection,229.10377625316062,0.004364834189944393,0.0029843301302059496,0.02573624431043858,0.0019257202076150618,0.00037484155529180494
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,teacher_topk,228.81806124140675,0.004370284365685187,0.0029842451668164864,0.025736521553545975,0.0019256835919482767,0.00037481423884198114
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,full_vocab,230.00915348035576,0.004347653041285391,0.0029844877045381935,0.02574186003122547,0.0019257475240648857,0.00037486538453526826
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,sampled_pg_draw1,46.19910504419257,0.021645440477645442,0.0029225122052767005,0.02540853758833568,0.0018954059227233582,0.0003662589592375892
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,sampled_pg_draw2,591.3704526104275,0.0016909874240331293,0.002978162644927118,0.025705116723523918,0.001922291702561644,0.00037394011244761937
density-m-pg250-draw42,density,m-pg250,raw/density-m-pg250-draw42/measurements.json,sampled_pg_draw3,37.95872780565577,0.026344401708494575,0.002926125302593621,0.025403742323016294,0.0018958534475396207,0.00036622873678246497
